[2019-04-23 09:14:19,783] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 09:14:39,964] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 09:14:39,986] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 09:14:39,993] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 09:15:31,085] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 09:15:31,105] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 09:15:31,111] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 09:21:52,075] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 09:21:52,095] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 09:21:52,101] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 09:23:31,312] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 09:23:31,332] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 09:23:31,338] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 09:56:20,303] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:12:05,832] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:12:05,845] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:12:05,851] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:12:18,707] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:12:18,720] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:12:18,726] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:13:04,322] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:13:04,336] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:13:04,342] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:13:27,706] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:13:27,717] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:13:27,726] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:14:10,670] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:14:10,684] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:14:10,690] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:16:04,641] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:16:04,654] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:16:04,661] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:16:11,605] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:16:11,618] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:16:11,625] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:16:41,298] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:16:41,311] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:16:41,316] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:16:57,631] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:16:57,644] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:16:57,650] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:17:21,545] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:17:21,559] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:17:21,566] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:18:53,897] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:18:53,910] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 10:18:53,915] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 10:20:56,397] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 10:20:56,408] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
